Assignee,Summary
vasily.melenchuk,fileopen docx file numbered list restarted from following section break assumes previous numbered list sequence after 
erack,editing named range gives cast an err result when deleting a row column of their range
erack,editing named range gives an err result when deleting a row column of their range
serge.krot,filesave xlsx copy pasting cell validation may result in a sheet reference error carry through as invalid xlsx content
serge.krot,filesave xlsx copy pasting cell validation may result in a sheet reference error saved as invalid xlsx content
erack,astir deletion up to maxcol or maxrow needs to handle updatereference
erack,deletion up to maxcol or maxrow needs to handle updatereference
mikekaganski,docx import extra and wrong page sizes in a specific document
mikekaganski,docx import extra pages and wrong page sizes in a specific document
jluth,fileopen docx footnote separators missing
jluth,fileopen docx footnote separators missing
jluth,import rtf numbering is duplicated
jluth,rtf import numbering is duplicated
jluth,unexampled filesave docx new line added every roundtrip
jluth,filesave docx new line added every roundtrip
zolnaitamas2000,moving table object with alt arrow keys does not work properly
zolnaitamas2000,moving table object with alt arrow keys does not work properly
zolnaitamas2000,docx multipage table restore is not imported properly fix by avoid floating table conversion
zolnaitamas2000,docx multipage table is not imported properly fix by avoid floating table conversion
m.weghorn,mailmerge cannot use name csv with space in the file name as address list with mm wizard
m.weghorn,mailmerge cannot use csv with space in the file name as address list with mm wizard
zolnaitamas2000,filesave odt anchor switch from as character to to character after rt
zolnaitamas2000,filesave odt anchor changed from as character to to character after rt
mikekaganski,filesave textboxs height is reduced afterward after rt
mikekaganski,filesave textboxs height is reduced after rt
mikekaganski,docx import a table in a specific document has width wrong in writer
mikekaganski,docx import a table in a specific document has wrong width in writer
jluth,footnote number format docx after conversion to changes and opening in microsoft word
jluth,footnote number format changes after conversion to docx and opening in microsoft word
markus.mohrhard,crashreport link isnt display in linux
markus.mohrhard,crashreport link isnt displayed in linux
serval2412,assert in ustring static cast unsigned char pcharstr x
serval2412,assert in ustring cxx static cast unsigned char pcharstr x 
erack,textjoin and concat handle array matrix column wise instead intercellular substance of row wise
erack,textjoin and concat handle array matrix column wise instead of row wise
dennisfrancis.in,fileopen importer correctly reads but does not apply pie label settings of xlsx and docx
dennisfrancis.in,fileopen importer correctly reads but does not apply pie label settings of xlsx and docx
sbergman,crashed in indium calc macro basic
sbergman,crashed in calc macro basic 
serval2412,addtempdevfont const oustring rfontfileurl on memory leaks invocation
serval2412,addtempdevfont const oustring rfontfileurl leaks memory on invocation
Armin.Le.Grand,fileopen is blank
Armin.Le.Grand,fileopen ole object preview is blank
Armin.Le.Grand,viewing text become blurred while zooming
Armin.Le.Grand,viewing text become blurred while zooming
serval2412,coretextglyphfallbacksubstitution findfontsubstitute invocation memory on leaks
serval2412,coretextglyphfallbacksubstitution findfontsubstitute leaks memory on invocation
serval2412,guide manager memory leak in templatelocalview insertitems
serval2412,template manager memory leak in templatelocalview insertitems 
raykowj,area tab bug unexpected interaction between bitmap and pattern settings
raykowj,area tab bug unexpected interaction between bitmap and pattern settings
serval2412,memory passing water leak in sd templatescanner scanentry
serval2412,memory leak in sd templatescanner scanentry 
erack,unable to open air xlsx files in calc
erack,unable to open xlsx files in calc
mikekaganski,filesave empty input fields in indium docx not retained
mikekaganski,filesave empty input fields in docx not retained
michael.stahl,affirmation at dbggui cxx
michael.stahl,assertion at dbggui cxx 
serval2412,sfxcommontemplatedialog impl filltreebox leaks retentivity
serval2412,sfxcommontemplatedialog impl filltreebox leaks memory
mikekaganski,border using page when
mikekaganski,when using page border
nemeth,allow image as full page background to cover comment whole page see the
nemeth,allow image as full page background to cover the whole page see comment 
michael.stahl,fileopen docx thesis template with missing name logo of on nd page
michael.stahl,fileopen docx thesis template with missing name and logo of university on nd page
michael.stahl,fileopen docx thesis template discharge with empty header
michael.stahl,fileopen docx thesis template with empty header
jluth,rtf fileopen incorrect indent
jluth,fileopen rtf incorrect indent
michael.stahl,statement
michael.stahl,assertion
bakos.attilakaroly,fileopen docx image in header pushes the indium text that should be below the image to the right
bakos.attilakaroly,fileopen docx image in header pushes the text that should be below the image to the right
mikekaganski,filesave an xlsx saving warning about pivot table cache on opening in excel after gives in calc
mikekaganski,filesave an xlsx gives warning about pivot table cache on opening in excel after saving in calc
